TIME,CH,ADC
363977384,11,13003
363977491,34,602
363978801,11,12982
363978908,34,597
363980218,11,12996
363980325,34,604
363981636,11,12963
363981742,34,609
363983052,11,12978
363983159,34,589
363984467,11,13027
363984574,34,634
363985885,11,12980
363985992,34,637
363987302,11,12964
363987409,34,637
363988725,11,12956
363988831,34,634
363990142,11,12968
363990249,34,620
363991563,11,12984
363991670,34,618
363992980,11,12970
363993087,34,604
363994398,11,12952
363994510,34,601
363995821,11,12970
363995928,34,609
363997237,11,12971
363997344,34,603
363998655,11,12950
363998762,34,608
364000072,11,12954
364000178,34,622
364001487,11,12980
364001594,34,625
364002904,11,12982
364003011,34,628
364004321,11,12978
364004428,34,642
364005744,11,12955
364005851,34,630
364007161,11,12961
364007268,34,619
364008578,11,12980
364008684,34,615
364009994,11,12974
364010101,34,607
364011410,11,12969
364011523,34,594
364012834,11,12958
364012941,34,604
364014250,11,12977
364014357,34,609
364015667,11,12778
364015774,34,610
364017083,11,12952
364017190,34,613
364018498,11,12978
364018605,34,631
364019916,11,12978
364020023,34,632
364021333,11,12989
364021443,34,632
364022754,11,12970
364022860,34,628
364024170,11,12973
364024277,34,623
364025587,11,12975
364025693,34,608
364027004,11,12976
364027110,34,620
364028419,11,12972
364028532,34,608
364029843,11,13002
364029949,34,612
364031259,11,12920
364031366,34,594
364032676,11,12836
364032783,34,612
364034094,11,12974
364034200,34,617
364035516,11,12993
364035623,34,609
364036934,11,12970
364037040,34,643
364038351,11,12966
364038457,34,634
364039767,11,12967
364039874,34,627
364041183,11,12968
364041289,34,618
364042600,11,12961
364042706,34,606
364044016,11,12252
364044123,34,598
364045432,11,12977
364045544,34,598
364046854,11,12954
364046961,34,602
364048271,11,12965
364048378,34,604
364049688,11,13013
364049795,34,620
364051104,11,12988
364051211,34,627
364052527,11,12916
364052634,34,633
364053945,11,12964
364054051,34,628
364055361,11,12967
364055467,34,633
364056778,11,12960
364056884,34,623
364058195,11,12976
364058302,34,612
364059612,11,12960
364059719,34,608
364061029,11,12969
364061135,34,602
364062445,11,12976
364062552,34,611
364063861,11,12972
364063968,34,599
364065277,11,12976
364065384,34,621
364066700,11,12966
364066807,34,622
364068116,11,12978
364068223,34,628
364069539,11,12978
364069646,34,637
364070956,11,12959
364071063,34,633
364072373,11,12974
364072480,34,631
364073790,11,12963
364073897,34,630
364075207,11,12964
364075314,34,607
364076625,11,12998
364076732,34,600
364078042,11,12944
364078148,34,594
364079458,11,12963
364079565,34,600
364080875,11,12952
364080981,34,607
364082292,11,12939
364082399,34,601
364083715,11,12994
364083821,34,630
364085130,11,13162
364085237,34,639
364086552,11,12984
364086658,34,643
364087969,11,12981
364088076,34,638
364089386,11,12963
364089492,34,630
364090803,11,12970
364090910,34,610
364092220,11,12972
364092326,34,599
364093637,11,12976
364093744,34,598
364095054,11,12981
364095161,34,603
364096469,11,12994
364096577,34,607
364097887,11,12966
364097994,34,616
364099303,11,12972
364099410,34,678
364100726,11,13012
364100833,34,620
364102143,11,12974
364102250,34,629
364103566,11,12986
364103672,34,631
364104983,11,12987
364105089,34,632
364106399,11,12956
364106511,34,618
364107822,11,12982
364107929,34,616
364109238,11,12962
364109345,34,608
364110655,11,12982
364110761,34,598
364112072,11,12986
364112178,34,598
